	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	csf	white_matter	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
60.0	0.0	0.0	0.0	0.8637765489233558	-0.0501692636362776	-0.0862639978700769	-0.5743724001320132	-0.0142776329477344	0.0048051083511417	0.0006523393349418	1570.102810279552	847.2389143656561	0.07651548577742927	0.06545691861611522	0.048194359844666725	0.026363950791636212	0.0020347725789917667	-0.022487260908167366	-0.044877957006419396	-0.06301513071721136	-0.07517974491028634	-0.08021884026537807	-0.07765481248997473	-0.06773067954372153	1.0
62.0	0.0	0.0	0.0	0.09902210426018002	-0.0363867033738785	-0.082697832295679	-0.579334119863546	-0.0143466021751682	0.0049809146377775	0.0006082625565249	1567.889018887936	848.6611850501043	0.07626394822228363	0.06450002517687661	0.04621882586998226	0.02326753758482435	-0.0020347725789917393	-0.02713148321024604	-0.04948674729198072	-0.06684172180018708	-0.07744280798709906	-0.08021884026537808	-0.07488931999616721	-0.0619927579140033	1.0
64.0	0.0	0.0	0.0	-0.05558157553839968	-0.0372113561764422	-0.0858543242232201	-0.5894019500015872	-0.0143418221370941	0.0050102419666899	0.0004929563628741	1567.6044079245728	847.6464541997391	0.07600457832002938	0.06351663567354772	0.04420057454329115	0.020132895874856144	-0.006099094504947914	-0.03167542452928907	-0.05384660644689685	-0.07022921022478221	-0.07906208528433026	-0.07939568641082032	-0.07119415106219804	-0.05533915463759954	1.0
66.0	0.0	0.0	0.0	0.514617303714926	-0.0375737129820805	-0.0799295290977397	-0.5889133486506353	-0.0141475046458249	0.0051263001780423	0.0005627950977451	1568.9795980934573	849.2943806201638	0.07573740270809022	0.06250715407420816	0.04214147121601107	0.016965175869830224	-0.010147760142783709	-0.03610228995221339	-0.05793560325264408	-0.07315534259697254	-0.08002411567209254	-0.07775782537415774	-0.06661517753602235	-0.04786814865239817	1.0
68.0	0.0	0.0	0.0	1.0846678348793652	-0.0258323808954372	-0.0729420479561042	-0.5701722458636027	-0.0134615139453495	0.0047282898137053	0.0004378482073308	1565.1518866655026	848.6963358230291	0.07546244882554035	0.06147199506534961	0.040043418996669675	0.013769582125397068	-0.014170376625873246	-0.04039571729148437	-0.06173316899832993	-0.0756008963044615	-0.08032090174560083	-0.07532206382600655	-0.061209242820780004	-0.039690092575271306	1.0
70.0	0.0	0.0	0.0	1.3156346256287503	-0.0307849584690131	-0.0638194969492929	-0.5569532006243065	-0.012927432782028	0.0051960375390895	0.0005731130352418	1567.4177741438416	849.4708472063082	0.07517974491028634	0.06041158388152612	0.0379083569919728	0.010551364993687846	-0.018156617955397202	-0.04453983756158299	-0.06522020094662564	-0.07754980579559588	-0.07994997630798213	-0.07211339597596282	-0.055043456220468766	-0.03092578270738974	1.0
72.0	0.0	0.0	0.0	1.2704112035399935	-0.0383939910492046	-0.0616713762359211	-0.5135339438126678	-0.0133711365772614	0.0043752406136736	0.0007437892905927	1578.2977774871918	850.2633963952356	0.0748893199961672	0.05932635613067136	0.035738258514601905	0.007315811996999604	-0.022096251507033787	-0.04851933363254317	-0.06837915842547285	-0.07898926811863456	-0.07891442288020152	-0.06816474709818934	-0.04819435984466674	-0.02170467477813101	1.0
74.0	0.0	0.0	0.0	0.8171245889283365	-0.0448342939816797	-0.0656282628243332	-0.5069895000124944	-0.01199431504725	0.0048380940823538	0.0010170567653676	1583.1675971509442	850.608374492412	0.07459120390997251	0.05821675761515454	0.0335351292593967	0.0040682391404100226	-0.025979164297958608	-0.05231949684376977	-0.07119415106219801	-0.07990982702805212	-0.07722285006760443	-0.06351663567354772	-0.0407469784143529	-0.012162971782442328	1.0
76.0	0.0	0.0	0.0	0.07950548928933474	-0.054450114626988	-0.0653468309218112	-0.50229758131875	-0.0124263470026568	0.0046089248724632	0.0008481720065876	1571.7528817830523	849.5533901178228	0.07428542726837921	0.05708324414864865	0.03130100544960912	0.0008139821775950853	-0.029795388946726467	-0.05592628136888591	-0.07365101871619453	-0.08030543510535848	-0.0748893199961672	-0.05821675761515454	-0.03279376376454209	-0.002441612155800372	1.0
78.0	0.0	0.0	0.0	-0.0734410742405894	-0.0441469117692889	-0.0609389652009042	-0.5201568450022265	-0.0132105550169895	0.0048900755299063	0.0008568427389041	1572.0736409988176	849.8252048802657	0.07397202147480728	0.05592628136888593	0.029037951954941292	-0.0024416121558002986	-0.03353512925939668	-0.059326356130671346	-0.0757374027080902	-0.08017349348634517	-0.07193323141336898	-0.05231949684376982	-0.02443344714668455	0.007315811996999566	1.0
