	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
52.0	0.0	0.0	0.0	1.0305809016635008	-0.0168779474614666	-0.0665035658035293	-0.0130038048570639	-0.0018189970369645	-0.0001780798975468	8.78379908106165e-05	0.07744280798709907	0.06901183668228753	0.05563343220562635	0.0382666874501068	0.01815661795539723	-0.0032550927979659748	-0.0244334471466845	-0.0438601766622218	-0.06014258625564413	-0.07211339597596281	-0.07891442288020152	-0.08005810385272293	1.0
54.0	0.0	0.0	0.0	1.4759530760503585	-0.0181105141866453	-0.0618303692699129	-0.0099493635618372	-0.0019279710318196	-0.0007035840568176	8.682228681444314e-05	0.07722285006760443	0.06816474709818933	0.053846606446896844	0.03537330948667084	0.014170376625873254	-0.008126035169293713	-0.029795388946726467	-0.049165535651913846	-0.06474174808479725	-0.07532206382600655	-0.08009003651794348	-0.07867773820527328	1.0
56.0	0.0	0.0	0.0	1.544129030841055	-0.01507710989992	-0.0664191132103155	0.0171710860577221	-0.0019079137065502	-0.0007302301554426	0.0002408033669585	0.0769949613212834	0.0672896560132722	0.05201001342561452	0.032421813268630986	0.010147760142783721	-0.012966942809801723	-0.035007452238594076	-0.05414791197712577	-0.06880270865491044	-0.07775782537415772	-0.08027141199133532	-0.07613524066852724	1.0
58.0	0.0	0.0	0.0	1.3813336824910185	-0.0075478810165918	-0.0622528447067338	-0.0530314442729888	-0.0028489927987468	-0.0002501247823558	8.714369045226093e-05	0.07675916515242867	0.06638692290754264	0.05012535059707178	0.029417048096523474	0.006099094504947924	-0.017759923185815648	-0.040043418996669654	-0.05877457496260669	-0.0722917090058629	-0.07939568641082032	-0.07945629770422895	-0.07246816592482967	1.0
60.0	0.0	0.0	0.0	0.8637765489233558	-0.0131229120935216	-0.1115736967558547	-0.0006248080419908	-0.0026398549412531	-0.0005702040086446	0.0005322482129962	0.07651548577742927	0.06545691861611522	0.048194359844666725	0.026363950791636212	0.0020347725789917667	-0.022487260908167366	-0.044877957006419396	-0.06301513071721136	-0.07517974491028634	-0.08021884026537807	-0.07765481248997473	-0.06773067954372153	1.0
62.0	0.0	0.0	0.0	0.09696195182220524	-0.0021113391064773	-0.1118990151414323	-0.0571848296199064	-0.0030689762012104	-0.0002269461477151	0.0002906525948377	0.07626394822228363	0.06450002517687661	0.04621882586998226	0.02326753758482435	-0.0020347725789917393	-0.02713148321024604	-0.04948674729198072	-0.06684172180018708	-0.07744280798709906	-0.08021884026537808	-0.07488931999616721	-0.0619927579140033	1.0
64.0	0.0	0.0	0.0	-0.0675205306390072	-0.0204119219329896	-0.0962057665822584	-0.0583630905060275	-0.0037799586115926	-0.0001800861223966	0.0005746614125491	0.07600457832002938	0.06351663567354772	0.04420057454329115	0.020132895874856144	-0.006099094504947914	-0.03167542452928907	-0.05384660644689685	-0.07022921022478221	-0.07906208528433026	-0.07939568641082032	-0.07119415106219804	-0.05533915463759954	1.0
66.0	0.0	0.0	0.0	0.5021476531026614	-0.0198301925768475	-0.1049962446828089	-0.0530324521192326	-0.0023660066939353	9.039579736813684e-05	8.810753313494529e-05	0.07573740270809022	0.06250715407420816	0.04214147121601107	0.016965175869830224	-0.010147760142783709	-0.03610228995221339	-0.05793560325264408	-0.07315534259697254	-0.08002411567209254	-0.07775782537415774	-0.06661517753602235	-0.04786814865239817	1.0
68.0	0.0	0.0	0.0	1.0798803871850806	-0.0055104477214769	-0.0953421868505586	-0.0121201506100803	-0.0047220816333726	0.0003566479034571	0.000361842641948	0.07546244882554035	0.06147199506534961	0.040043418996669675	0.013769582125397068	-0.014170376625873246	-0.04039571729148437	-0.06173316899832993	-0.0756008963044615	-0.08032090174560083	-0.07532206382600655	-0.061209242820780004	-0.039690092575271306	1.0
70.0	0.0	0.0	0.0	1.317149512645413	-0.010954215850603	-0.1399646369625884	-0.005651822390142	-0.0037931015274799	0.0003730922775218	0.0004797098015252	0.07517974491028634	0.06041158388152612	0.0379083569919728	0.010551364993687846	-0.018156617955397202	-0.04453983756158299	-0.06522020094662564	-0.07754980579559588	-0.07994997630798213	-0.07211339597596282	-0.055043456220468766	-0.03092578270738974	1.0
